"id","matchDate","Country","League","Season","homeTeam","awayTeam","FTHG","FTAG","FTR","1HHG","1HAG","1HR","2HHG","2HAG","2HR"
"8590","06-02-22 15:00","Italy","Serie A","2021/2022","Venezia","Napoli","0","2","A","0","0","D","0","2","A"
"8591","06-02-22 12:30","Italy","Serie A","2021/2022","Atalanta","Cagliari","1","2","A","0","0","D","1","2","A"
"8592","05-02-22 20:45","Italy","Serie A","2021/2022","Fiorentina","Lazio","0","3","A","0","0","D","0","3","A"
"8593","05-02-22 18:00","Italy","Serie A","2021/2022","Inter","AC Milan","1","2","A","1","0","H","0","2","A"
"8594","05-02-22 15:00","Italy","Serie A","2021/2022","AS Roma","Genoa","0","0","D","0","0","D","0","0","D"
"8595","23-01-22 20:45","Italy","Serie A","2021/2022","AC Milan","Juventus","0","0","D","0","0","D","0","0","D"
"8596","23-01-22 18:00","Italy","Serie A","2021/2022","Empoli","AS Roma","2","4","A","0","4","A","2","0","H"
"8597","23-01-22 15:00","Italy","Serie A","2021/2022","Napoli","Salernitana","4","1","H","2","1","H","2","0","H"
"8598","23-01-22 15:00","Italy","Serie A","2021/2022","Spezia","Sampdoria","1","0","H","0","0","D","1","0","H"
"8599","23-01-22 15:00","Italy","Serie A","2021/2022","Torino","Sassuolo","1","1","D","1","0","H","0","1","A"
"8600","23-01-22 12:30","Italy","Serie A","2021/2022","Cagliari","Fiorentina","1","1","D","0","0","D","1","1","D"
"8601","22-01-22 20:45","Italy","Serie A","2021/2022","Lazio","Atalanta","0","0","D","0","0","D","0","0","D"
"8602","22-01-22 18:00","Italy","Serie A","2021/2022","Inter","Venezia","2","1","H","1","1","D","1","0","H"
"8603","22-01-22 15:00","Italy","Serie A","2021/2022","Genoa","Udinese","0","0","D","0","0","D","0","0","D"
"8604","21-01-22 20:45","Italy","Serie A","2021/2022","Verona","Bologna","2","1","H","1","1","D","1","0","H"
"8605","17-01-22 20:45","Italy","Serie A","2021/2022","Fiorentina","Genoa","6","0","H","3","0","H","3","0","H"
"8606","17-01-22 18:30","Italy","Serie A","2021/2022","AC Milan","Spezia","1","2","A","1","0","H","0","2","A"
"8607","17-01-22 18:30","Italy","Serie A","2021/2022","Bologna","Napoli","0","2","A","0","1","A","0","1","A"
"8608","16-01-22 20:45","Italy","Serie A","2021/2022","Atalanta","Inter","0","0","D","0","0","D","0","0","D"
"8609","16-01-22 18:00","Italy","Serie A","2021/2022","AS Roma","Cagliari","1","0","H","1","0","H","0","0","D"
"8610","16-01-22 15:00","Italy","Serie A","2021/2022","Venezia","Empoli","1","1","D","0","1","A","1","0","H"
"8611","16-01-22 12:30","Italy","Serie A","2021/2022","Sassuolo","Verona","2","4","A","0","2","A","2","2","D"
"8612","15-01-22 20:45","Italy","Serie A","2021/2022","Juventus","Udinese","2","0","H","1","0","H","1","0","H"
"8613","15-01-22 18:00","Italy","Serie A","2021/2022","Salernitana","Lazio","0","3","A","0","2","A","0","1","A"
"8614","15-01-22 15:00","Italy","Serie A","2021/2022","Sampdoria","Torino","1","2","A","1","1","D","0","1","A"
"8615","11-01-22 20:45","Italy","Serie A","2021/2022","Cagliari","Bologna","2","1","H","0","0","D","2","1","H"
"8616","10-01-22 17:00","Italy","Serie A","2021/2022","Torino","Fiorentina","4","0","H","3","0","H","1","0","H"
"8617","09-01-22 20:45","Italy","Serie A","2021/2022","Inter","Lazio","2","1","H","1","1","D","1","0","H"
"8618","09-01-22 20:45","Italy","Serie A","2021/2022","Verona","Salernitana","1","2","A","0","1","A","1","1","D"
"8619","09-01-22 18:30","Italy","Serie A","2021/2022","AS Roma","Juventus","3","4","A","1","1","D","2","3","A"
"8620","09-01-22 18:30","Italy","Serie A","2021/2022","Genoa","Spezia","0","1","A","0","1","A","0","0","D"
"8621","09-01-22 16:30","Italy","Serie A","2021/2022","Napoli","Sampdoria","1","0","H","1","0","H","0","0","D"
"8622","09-01-22 16:30","Italy","Serie A","2021/2022","Udinese","Atalanta","2","6","A","0","3","A","2","3","A"
"8623","09-01-22 14:30","Italy","Serie A","2021/2022","Empoli","Sassuolo","1","5","A","1","2","A","0","3","A"
"8624","09-01-22 12:30","Italy","Serie A","2021/2022","Venezia","AC Milan","0","3","A","0","1","A","0","2","A"
