"id","matchDate","Country","League","Season","homeTeam","awayTeam","H","D","A","O05","U05","O15","U15","O25","U25","O35","U35","O45","U45","BTTSY","BTTSN"
"75358","15-12-25 21:00","Spain","LaLiga","2025/2026","Rayo Vallecano","Betis","2.74","3.26","2.78","1.09","8.00","1.36","3.20","2.32","1.67","4.05","1.25","8.08","1.09","1.83","1.98"
"75339","14-12-25 21:00","Spain","LaLiga","2025/2026","Alaves","Real Madrid","6.29","4.11","1.59","1.03","13.80","1.21","4.61","1.71","2.23","2.66","1.49","4.96","1.18","1.76","2.06"
"75340","14-12-25 16:15","Spain","LaLiga","2025/2026","Celta Vigo","Ath Bilbao","2.94","3.27","2.61","1.09","8.00","1.40","3.00","2.32","1.67","4.37","1.22","8.82","1.07","1.90","1.90"
"75341","14-12-25 14:00","Spain","LaLiga","2025/2026","Sevilla","Oviedo","2.08","3.28","4.08","1.10","7.37","1.43","2.90","2.32","1.63","4.45","1.22","9.03","1.07","1.96","1.85"
"75294","13-12-25 21:00","Spain","LaLiga","2025/2026","Getafe","Espanyol","2.64","2.91","3.25","1.17","5.26","1.80","2.10","3.43","1.33","7.69","1.09","14.30","1.03","2.58","1.50"
"75295","13-12-25 18:30","Spain","LaLiga","2025/2026","Barcelona","Osasuna","1.20","7.97","14.60","1.01","26.00","1.08","8.42","1.29","3.68","1.73","2.21","2.69","1.48","1.72","2.12"
"75296","13-12-25 16:15","Spain","LaLiga","2025/2026","Mallorca","Elche","2.57","2.98","3.28","1.12","6.50","1.50","2.63","2.53","1.54","4.68","1.20","10.60","1.05","1.96","1.85"
"75297","13-12-25 14:00","Spain","LaLiga","2025/2026","Atl. Madrid","Valencia","1.32","5.61","10.70","1.01","17.50","1.18","5.00","1.60","2.38","2.44","1.57","4.37","1.22","1.90","1.90"
"75215","12-12-25 21:00","Spain","LaLiga","2025/2026","Real Sociedad","Girona","1.81","3.79","4.67","1.05","10.50","1.29","3.68","1.88","2.01","3.21","1.36","6.48","1.12","1.76","2.06"
"75145","08-12-25 21:00","Spain","LaLiga","2025/2026","Osasuna","Levante","1.71","4.00","5.12","1.05","11.00","1.26","4.00","1.89","2.00","3.01","1.40","5.81","1.14","1.76","2.06"
"75119","07-12-25 21:00","Spain","LaLiga","2025/2026","Real Madrid","Celta Vigo","1.26","6.83","10.60","1.02","24.00","1.13","6.38","1.37","3.19","1.98","1.90","3.18","1.37","1.70","2.14"
"75120","07-12-25 18:30","Spain","LaLiga","2025/2026","Espanyol","Rayo Vallecano","2.39","3.27","3.26","1.10","7.37","1.43","2.90","2.23","1.68","4.16","1.24","8.40","1.08","1.90","1.90"
"75121","07-12-25 16:15","Spain","LaLiga","2025/2026","Valencia","Sevilla","2.06","3.51","3.83","1.09","8.00","1.36","3.20","2.21","1.73","4.05","1.25","8.08","1.09","1.90","1.90"
"75122","07-12-25 14:00","Spain","LaLiga","2025/2026","Elche","Girona","2.09","3.32","3.98","1.06","9.47","1.30","3.58","2.01","1.88","3.43","1.33","6.90","1.11","1.76","2.06"
"75068","06-12-25 21:00","Spain","LaLiga","2025/2026","Ath Bilbao","Atl. Madrid","3.07","3.30","2.49","1.07","9.00","1.36","3.20","2.21","1.73","4.05","1.25","8.08","1.09","1.76","2.06"
"75069","06-12-25 18:30","Spain","LaLiga","2025/2026","Betis","Barcelona","4.09","4.10","1.84","1.02","26.00","1.10","7.37","1.34","3.37","1.88","2.01","2.86","1.43","1.36","3.17"
"75070","06-12-25 16:15","Spain","LaLiga","2025/2026","Alaves","Real Sociedad","2.82","2.94","2.97","1.14","6.00","1.54","2.50","2.82","1.45","5.26","1.17","10.60","1.05","2.06","1.76"
"75071","06-12-25 14:00","Spain","LaLiga","2025/2026","Villarreal","Getafe","1.66","3.85","5.91","1.07","9.00","1.36","3.20","2.32","1.67","4.05","1.25","8.08","1.09","2.06","1.76"
"75007","05-12-25 21:00","Spain","LaLiga","2025/2026","Oviedo","Mallorca","2.77","3.01","2.97","1.11","6.84","1.46","2.77","2.41","1.58","4.45","1.22","10.10","1.06","1.96","1.85"
"74983","03-12-25 19:00","Spain","LaLiga","2025/2026","Ath Bilbao","Real Madrid","4.36","3.85","1.85","1.04","11.70","1.26","3.99","1.86","2.03","3.18","1.37","5.96","1.14","1.76","2.06"
"74958","02-12-25 21:00","Spain","LaLiga","2025/2026","Barcelona","Atl. Madrid","1.76","4.46","4.21","1.02","24.00","1.13","6.38","1.42","2.93","1.98","1.90","3.18","1.37","1.44","2.79"
"74948","01-12-25 21:00","Spain","LaLiga","2025/2026","Rayo Vallecano","Valencia","2.06","3.39","4.01","1.08","8.42","1.37","3.16","2.21","1.73","3.85","1.27","7.69","1.09","1.90","1.90"
"74931","30-11-25 21:00","Spain","LaLiga","2025/2026","Girona","Real Madrid","7.58","5.60","1.39","1.02","27.00","1.11","6.84","1.34","3.37","1.88","2.01","3.03","1.39","1.58","2.37"
"74932","30-11-25 18:30","Spain","LaLiga","2025/2026","Celta Vigo","Espanyol","1.90","3.59","4.44","1.04","12.40","1.25","4.13","1.98","1.90","3.17","1.37","6.11","1.13","1.65","2.24"
"74933","30-11-25 16:15","Spain","LaLiga","2025/2026","Sevilla","Betis","2.70","3.34","2.78","1.07","9.00","1.33","3.40","2.10","1.80","3.60","1.30","7.24","1.10","1.76","2.06"
"74934","30-11-25 14:00","Spain","LaLiga","2025/2026","Real Sociedad","Villarreal","2.88","3.50","2.52","1.04","11.60","1.24","4.21","1.80","2.10","2.86","1.43","5.53","1.15","1.59","2.36"
